47,0.0467,0,04671
95,0.0944,0,09443
191,0.1898,0,18986
383,0.3807,0,38071
767,0.7624,1,76242
529,0.5258,1,52584
53,0.0526,0,05268
107,0.1063,0,10636
215,0.2137,0,21371
431,0.4284,0,42842
863,0.8578,1,85785
721,0.7166,1,71669
437,0.4343,0,43439
875,0.8697,1,86978
745,0.7405,1,74055
485,0.4821,0,48210
971,0.9652,1,96520
937,0.9314,1,93141
869,0.8638,1,86381
733,0.7286,1,72862
461,0.4582,0,45825
923,0.9174,1,91749
841,0.8359,1,83598
677,0.6729,1,67296
349,0.3469,0,34691
699,0.6948,1,69483
393,0.3906,0,39065
787,0.7823,1,78230
569,0.5656,1,56560
133,0.1322,0,13220
267,0.2654,0,26540
535,0.5318,1,53180
65,0.0646,0,06461
131,0.1302,0,13021
263,0.2614,0,26143
527,0.5238,1,52385
49,0.0487,0,04870
99,0.0984,0,09840
199,0.1978,0,19781
399,0.3966,0,39662
799,0.7942,1,79423
593,0.5894,1,58946
181,0.1799,0,17992
363,0.3608,0,36083
727,0.7226,1,72266
449,0.4463,0,44632
899,0.8936,1,89363
793,0.7882,1,78827
581,0.5775,1,57753
157,0.156,0,15606
315,0.3131,0,31312
631,0.6272,1,62722
257,0.2554,0,25546
515,0.5119,1,51192
25,0.0248,0,02485
51,0.0506,0,05069
103,0.1023,0,10238
207,0.2057,0,20576
415,0.4125,0,41252
831,0.826,1,82604
657,0.653,1,65308
309,0.3071,0,30714
619,0.6153,1,61529
233,0.2316,0,23161
467,0.4642,0,46421
935,0.9294,1,92942
865,0.8598,1,85984
725,0.7206,1,72067
445,0.4423,0,44234
891,0.8856,1,88568
777,0.7723,1,77236
549,0.5457,1,54572
93,0.0924,0,09244
187,0.1858,0,18588
375,0.3727,0,37276
751,0.7465,1,74652
497,0.494,0,49403
995,0.989,1,98906
985,0.9791,1,97912
965,0.9592,1,95924
925,0.9194,1,91948
845,0.8399,1,83996
685,0.6809,1,68091
365,0.3628,0,36282
731,0.7266,1,72664
457,0.4542,0,45427
915,0.9095,1,90954
825,0.82,1,82007
645,0.6411,1,64115
285,0.2833,0,28330
571,0.5675,1,56759
137,0.1361,0,13618
275,0.2733,0,27335
551,0.5477,1,54771
97,0.0964,0,09642
195,0.1938,0,19383
391,0.3886,0,38866
783,0.7783,1,77833
561,0.5576,1,55765
117,0.1163,0,11630
